"Measuring program","Site name","Station number","Station name","Latitude","Longitude","Sampling location","Sample date","Sample time","Sample depth","Sample final depth","Sample number","Sample Matrix","Sample Type","Sample Collection","Laboratory","QC Sample (Y/N)","Lab QAQC Batch ID","Analysis method name","Analysis method code","Reporting Detection Limit (RDL)","RDL Unit","Parameter type group","Parameter type name","Parameter sign","Parameter value","Parameter unit symbol","Parameter value and sign","Parameter unit name","Lab Qualifier 1","Lab Qualifier 2","Lab Qualifier 3","Lab Qualifier 4","Sampling comment","Sample remark","Parameter remark","Parameter standard remark","Last modified date and time"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.13","ug/L","Minor Elements","Aluminum Dissolved","","1.94","µg/l","1.94","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.2","ug/L","Minor Elements","Aluminum Total Recoverable","","5.50","µg/l","5.50","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Calculated value","4","","meq/L","Major Ions","Anions Total","","6.2800","me/L","6.2800","Milliequivalent per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.008","ug/L","Minor Elements","Antimony Dissolved","","0.018","µg/l","0.018","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.001","ug/L","Minor Elements","Antimony Total Recoverable","","0.018","µg/l","0.018","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.003","ug/L","Minor Elements","Arsenic Dissolved","","0.272","µg/l","0.272","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.004","ug/L","Minor Elements","Arsenic Total Recoverable","","0.372","µg/l","0.372","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.05","ug/L","Minor Elements","Barium Dissolved","","36.2","µg/l","36.2","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.004","ug/L","Minor Elements","Barium Total Recoverable","","41.9","µg/l","41.9","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Hydrocarbons in water are analyzed by gas chromatography/mass spectrometry (GC/MS) (CCME derived).","3319","0.1","ug/L","Hydrocarbons","Benzene","<","0.10","µg/l","<0.10","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.009","ug/L","Minor Elements","Beryllium Dissolved","<","0.00900","µg/l","<0.00900","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.008","ug/L","Minor Elements","Beryllium Total Recoverable","<","0.00800","µg/l","<0.00800","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.003","ug/L","Minor Elements","Bismuth Dissolved","<","0.00300","µg/l","<0.00300","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.001","ug/L","Minor Elements","Bismuth Total Recoverable","<","0.00100","µg/l","<0.00100","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.13","ug/L","Minor Elements","Boron Dissolved","","6.73","µg/l","6.73","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.1","ug/L","Minor Elements","Boron Total Recoverable","","7.50","µg/l","7.50","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.002","ug/L","Minor Elements","Cadmium Dissolved","<","0.00200","µg/l","<0.00200","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0430","27.5KM UPSTREAM OF STANLEY CREEK","57.33158000","-111.12036000","Centre","2015-01-15","09:30:00","","","15SWE01801-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.002","ug/L","Minor Elements","Cadmium Total Recoverable","<","0.002","µg/l","<0.002","microgram per litre","","","","","*no sulphide bottle, broken* chipped hole through ice","","","","2021-04-20 08:52:36"
